"","Sample_ID","OR","Project","Date_sampled","WY","FL","TW","Station_code","Site.Name","Region_USE","Lat","Long","Region_subdivided5"
"89","DM14139",270.917,"DM","2014-03-18",2014,40,0.58,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"90","DM14140",378.636,"DM","2014-03-18",2014,45,0.83,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"91","DM14146",355.726,"DM","2014-03-20",2014,55,1.63,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"92","DM14147",340.39,"DM","2014-03-20",2014,49,1.08,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"93","DM14148",365.784,"DM","2014-03-20",2014,61,2.05,"MK004W","B&W Marina","Delta",38.12746155,-121.5804697,"Cosumnes runoff"
"94","DM14152",385.237,"DM","2014-04-22",2014,64,3.31,"SR024E","Koket","Delta",38.24039242,-121.5547949,"Lower Sac"
"95","DM14154",241.124,"DM","2014-03-18",2014,34,0.32,"SR043W","Clarksburg","Sac",38.38304913,-121.5208997,"Lower Sac"
"96","DM14157",433.042,"DM","2014-04-07",2014,75,4.35,"TM001N","Brannan Island","Delta",38.11666073,-121.6837998,"excl"
"97","DM14216",435.601,"DM","2014-03-28",2014,71,4.0222,"SB018X","Chipps Island","Chipps",38.04365479,-121.9112847,"Chipps"
"98","DM14217",511.39,"DM","2014-04-02",2014,69,3.3822,"SB018S","Chipps Island","Chipps",38.04365479,-121.9112847,"Chipps"
"99","DM14220",417.289,"DM","2014-04-02",2014,67,3.1977,"SB018S","Chipps Island","Chipps",38.04365479,-121.9112847,"Chipps"
"100","DM14252",530.536,"DM","2014-04-07",2014,72,3.9071,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"101","DM14268",401.987,"DM","2014-04-11",2014,74,2.9803,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"102","DM14283",477.629,"DM","2014-05-17",2014,80,4.56,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"103","DM14304",499.812,"DM","2014-05-01",2014,83,5.32,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"104","DM14331",517.645,"DM","2014-05-24",2014,85,5.34,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"105","DM14337",490.177,"DM","2014-05-19",2014,88,6.39,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"106","DM14338",496.57,"DM","2014-05-19",2014,85,6.28,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"107","DM14340",411.309,"DM","2014-05-20",2014,87,5.72,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"108","DM14344",535.655,"DM","2014-05-20",2014,88,4.61,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"109","DM14350",480.839,"DM","2014-04-08",2014,72,3.46,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"110","DM14354",454.137,"DM","2014-05-02",2014,87,6.48,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"111","DM14360",428.675,"DM","2014-05-02",2014,71,3.06,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"112","DM14361",461.569,"DM","2014-05-13",2014,90,6.94,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"113","DM14372",492.453,"DM","2014-05-15",2014,84,5.16,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"114","DM14374",503.371,"DM","2014-05-15",2014,83,5.04,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"115","DM14381",455.129,"DM","2014-05-06",2014,80,4.17,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"116","DM14396",488.731,"DM","2014-05-09",2014,85,6.23,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"117","DM14397",557.115,"DM","2014-05-09",2014,89,6.4,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"118","DM14406",510.215,"DM","2014-05-16",2014,85,6.81,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"119","DM14417",471.701,"DM","2014-04-10",2014,77,4.24,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"120","DM14419",436.661,"DM","2014-04-10",2014,68,2.92,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"121","DM14422",464.538,"DM","2014-04-10",2014,71,3.21,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"122","DM14423",472.982,"DM","2014-05-05",2014,86,5.68,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"123","DM14426",512.083,"DM","2014-05-05",2014,85,4.82,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"124","DM14435",488.365,"DM","2014-04-17",2014,75,3.38,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"125","DM14437",492.162,"DM","2014-04-17",2014,75,3.37,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"126","DM14441",429.349,"DM","2014-04-26",2014,80,4.21,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"127","DM14445",430.677,"DM","2014-04-26",2014,80,4.12,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"128","DM14450",435.76,"DM","2014-04-18",2014,70,2.5,"SJ054M","Mossdale","SJR",37.78703776,-121.3073651,"Lower SJR"
"129","DM14619",447.17,"DM","2014-04-16",2014,74,3.64,"SB018N","Chipps Island","Chipps",38.04365479,-121.9112847,"Chipps"
"130","DM14627",503.466,"DM","2014-04-21",2014,76,3.92,"SB018N","Chipps Island","Chipps",38.04365479,-121.9112847,"Chipps"
"131","DM15001",420.907,"DM","2015-05-13",2015,80,5.45,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"132","DM15002",468.254,"DM","2015-05-13",2015,78,4.65,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"133","DM15005",485.932,"DM","2015-05-16",2015,68,3.28,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"134","DM15007",434.094,"DM","2015-04-10",2015,66,2.98,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"135","DM15008",470.002,"DM","2015-05-29",2015,82,5.14,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"136","DM15009",451.479,"DM","2015-04-10",2015,74,4.01,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"137","DM15010",421.675,"DM","2015-04-17",2015,71,3.26,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"138","DM15011",534.053,"DM","2015-05-22",2015,90,7.18,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"139","DM15013",238.842,"DM","2015-02-18",2015,37,0.31,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"140","DM15014",267.82,"DM","2015-02-27",2015,34,0.26,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"141","DM15015",203.441,"DM","2015-02-13",2015,39,0.29,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"142","DM15016",249.077,"DM","2015-02-18",2015,36,0.23,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"143","DM15017",463.918,"DM","2015-04-24",2015,79,4.74,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"144","DM15018",237.718,"DM","2015-02-13",2015,34,0.23,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"145","DM15019",411.023,"DM","2015-04-20",2015,69,3.23,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"146","DM15020",502.867,"DM","2015-05-11",2015,86,6.36,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
"147","DM15021",434.443,"DM","2015-05-26",2015,70,3.35,"SR055M","Sherwood Harbor","Sac",38.53278804,-121.5233336,"Lower Sac"
