"","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length"
"216","WR07-14",NA,2007,"Unknown",230,11,649.558,0.708323,2e-04,1.92,"n",60,NA,NA
"217","WR07-14",NA,2007,"Unknown",230,12,717.185,0.708661,0.000162,1.96,"n",60,NA,NA
"218","WR07-14",NA,2007,"Unknown",230,13,768.919,0.708975,0.000108,2.07,"n",60,NA,NA
"219","WR07-14",NA,2007,"Unknown",230,14,829.446,0.709121,0.000102,2.49,"n",60,NA,NA
"220","WR07-15",NA,2007,"Unknown",230,1,53.087,0.707435,3e-04,1.35,"n",60,NA,NA
"221","WR07-15",NA,2007,"Unknown",230,2,121.391,0.706591,0.000194,1.65,"n",60,NA,NA
"222","WR07-15",NA,2007,"Unknown",230,3,178.197,0.705935,0.00026,1.3,"n",60,NA,NA
"223","WR07-15",NA,2007,"Unknown",230,4,232.299,0.705564,0.000144,1.5,"n",60,NA,NA
"224","WR07-15",NA,2007,"Unknown",230,5,290.12,0.705091,0.00022,1.39,"n",60,NA,NA
"225","WR07-15",NA,2007,"Unknown",230,6,348.955,0.705283,0.00022,1.44,"n",60,NA,NA
"226","WR07-15",NA,2007,"Unknown",230,13,367.134,0.705571,0.00024,1.37,"n",60,NA,NA
"227","WR07-15",NA,2007,"Unknown",230,7,408.129,0.707555,0.00022,1.04,"n",60,NA,NA
"228","WR07-15",NA,2007,"Unknown",230,8,480.152,0.707628,0.00028,1.06,"n",60,NA,NA
"229","WR07-15",NA,2007,"Unknown",230,14,491.057,0.708203,0.000186,1.08,"n",60,NA,NA
"230","WR07-15",NA,2007,"Unknown",230,9,530.534,0.708054,0.000134,1.07,"n",60,NA,NA
"231","WR07-15",NA,2007,"Unknown",230,10,597.147,0.708199,0.00034,1.84,"n",60,NA,NA
"232","WR07-15",NA,2007,"Unknown",230,15,614.291,0.708743,0.000176,2.36,"n",60,NA,NA
"233","WR07-15",NA,2007,"Unknown",230,11,664.097,0.70903,0.000172,2.64,"n",60,NA,NA
"234","WR07-15",NA,2007,"Unknown",230,12,729.696,0.70902,1e-04,2.78,"n",60,NA,NA
"235","WR07-16",NA,2007,"Unknown",230,1,12.173,0.708191,0.00014,1.3,"n",60,NA,NA
"236","WR07-16",NA,2007,"Unknown",230,2,63.908,0.707793,0.00036,1.04,"n",60,NA,NA
"237","WR07-16",NA,2007,"Unknown",230,3,126.124,0.707269,2e-04,1.23,"n",60,NA,NA
"238","WR07-16",NA,2007,"Unknown",230,4,178.535,0.706296,0.00036,1.42,"n",60,NA,NA
"239","WR07-16",NA,2007,"Unknown",230,5,241.09,0.70562,0.00024,1.19,"n",60,NA,NA
"240","WR07-16",NA,2007,"Unknown",230,6,298.573,0.705459,0.00026,1,"n",60,NA,NA
"241","WR07-16",NA,2007,"Unknown",230,16,343.959,0.705474,2e-04,1.13,"n",60,NA,NA
"242","WR07-16",NA,2007,"Unknown",230,7,351.661,0.704611,0.00032,1.24,"n",60,NA,NA
"243","WR07-16",NA,2007,"Unknown",230,8,412.187,0.704662,0.00022,1.33,"n",60,NA,NA
"244","WR07-16",NA,2007,"Unknown",230,9,469.67,0.704457,0.00018,1.33,"n",60,NA,NA
"245","WR07-16",NA,2007,"Unknown",230,17,521.684,0.704472,0.00024,1.17,"n",60,NA,NA
"246","WR07-16",NA,2007,"Unknown",230,10,527.829,0.708477,1e-04,2.34,"n",60,NA,NA
"247","WR07-16",NA,2007,"Unknown",230,11,596.132,0.708649,0.00028,1.95,"n",60,NA,NA
"248","WR07-16",NA,2007,"Unknown",230,12,644.147,0.708591,0.00016,1.88,"n",60,NA,NA
"249","WR07-16",NA,2007,"Unknown",230,13,704.336,0.709024,0.00018,2.12,"n",60,NA,NA
"250","WR07-16",NA,2007,"Unknown",230,14,765.538,0.709051,0.00022,2.25,"n",60,NA,NA
"251","WR07-16",NA,2007,"Unknown",230,15,831.136,0.709134,0.00018,2.47095,"n",60,NA,NA
"252","WR07-17",NA,2007,"Unknown",180,1,21.303,0.707143,0.00028,0.67,"n",60,NA,NA
"253","WR07-17",NA,2007,"Unknown",180,2,85.548,0.706317,2e-04,0.79,"n",60,NA,NA
"254","WR07-17",NA,2007,"Unknown",180,3,144.046,0.706123,0.00026,0.69,"n",60,NA,NA
