"Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"WR15-7282",2012,740,0,0,0,0,"SAC"
"WR15-7287",2012,692,0,0,0,0,"SAC"
"WR15-7292",2012,731,0,0,0,0,"SAC"
"WR15-7295",2012,694,0,0,0,151.799,"DEL"
"WR15-7301",2012,800,0,0,0,0,"SAC"
"WR15-7303",2012,700,0,0,0,0,"SAC"
"WR15-7306",2011,705,0,251.054,0,0,"AME"
"WR15-7306B",2011,NA,0,0,0,0,"SAC"
"WR15-7308",2012,733,0,0,0,0,"SAC"
"WR15-7321",2012,663,0,0,0,0,"SAC"
"WR15-7326",2012,712,0,0,0,0,"SAC"
"WR15-7332",2013,550,0,0,0,0,"SAC"
"WR15-7335",2012,741,0,0,0,236.356,"DEL"
"WR15-7340",2012,745,0,0,0,0,"SAC"
"WR15-7343",2012,610,0,0,0,224.86,"DEL"
"WR15-7349",2012,665,155.88,0,0,0,"LAS"
"WR15-7352",2012,683,0,0,0,0,"SAC"
"WR15-7356",2012,716,0,0,0,0,"SAC"
"WR15-7362",2012,748,0,0,0,192.399,"DEL"
"WR15-7370",2013,594,0,0,0,0,"SAC"
"WR15-7371",2012,704,0,0,0,0,"SAC"
"WR15-7373",2013,699,0,0,0,0,"SAC"
"WR15-7374",2012,660,0,0,0,0,"SAC"
"WR15-7375",2012,703,0,0,0,0,"SAC"
"WR15-80117",2012,750,0,0,0,0,"SAC"
"WR15-80122",2012,740,0,0,0,217.064,"DEL"
"WR15-80136",2012,780,0,0,0,191.046,"DEL"
"WR15-80137",2012,740,0,0,0,0,"SAC"
"WR15-80140",2012,770,0,0,0,0,"SAC"
"WR15-80144",2012,720,45.986,0,0,0,"LAS"
"WR15-80145",2012,730,0,0,0,0,"SAC"
"WR15-80148",2012,730,0,0,0,0,"SAC"
"WR15-80157",2012,710,0,0,0,0,"SAC"
"WR15-80160",2012,730,0,201.866,0,0,"AME"
"WR15-80163",2012,760,189.356,0,0,0,"LAS"
"WR15-80171",2012,840,0,181.917,0,0,"AME"
"WR15-80181",2012,840,0,0,0,0,"SAC"
"WR15-80189",2012,750,0,0,0,0,"SAC"
"WR15-80190",2012,690,0,0,0,162.981,"DEL"
"WR15-80192",2012,740,0,0,0,190.708,"DEL"
"WR15-80196",2012,750,0,0,0,0,"SAC"
"WR15-80200",2012,870,0,418.612,0,0,"AME"
"WR15-80201",2012,820,0,0,0,0,"SAC"
"WR15-80203",2012,790,0,274.228,0,0,"AME"
"WR15-80204",2012,780,0,0,0,189.356,"DEL"
"WR15-80205",2012,790,0,0,0,287.753,"DEL"
"WR15-80206",2012,770,0,0,0,206.736,"DEL"
"WR15-80207",2012,770,0,0,0,0,"SAC"
"WR15-80215",2012,760,0,0,0,0,"SAC"
"WR15-80217",2012,750,0,0,0,0,"SAC"
"WR15-80218",2012,710,0,0,0,0,"SAC"
"WR15-80223",2012,780,0,0,0,0,"SAC"
"WR15-80224",2012,720,0,0,0,0,"SAC"
"WR15-80225",2012,730,0,0,0,0,"SAC"
"WR15-80226",2012,780,0,147.426,0,0,"AME"
"WR15-80227",2012,720,0,0,0,233.446,"DEL"
"WR15-80229",2012,710,126.031,0,0,0,"LAS"
"WR15-80230",2012,820,0,0,0,0,"SAC"
"WR15-80232",2012,790,0,0,0,0,"SAC"
"WR15-80233",2012,850,0,0,0,224.183,"DEL"
"WR15-80234",2012,790,0,321.904,0,0,"AME"
"WR15-80237",2012,720,0,0,0,154.528,"DEL"
"WR15-80238",2012,720,0,0,0,247.515,"DEL"
"WR15-80240",2012,730,0,0,0,0,"SAC"
"WR15-80241",2012,810,289.639,0,0,0,"LAS"
"WR15-80243",2012,750,0,228.58,0,0,"AME"
"WR15-80244",2012,720,0,277.947,0,0,"AME"
"WR15-80246",2012,710,0,0,0,0,"SAC"
"WR15-80247",2012,770,0,0,0,0,"SAC"
"WR15-80248",2012,740,0,0,0,0,"SAC"
"WR15-80249",2012,800,0,0,0,0,"SAC"
"WR15-80251",2012,790,0,0,0,0,"SAC"
"WR15-80252",2012,780,0,0,0,0,"SAC"
"WR15-80258",2012,710,0,0,0,0,"SAC"
"WR15-80259",2012,790,0,0,0,0,"SAC"
"WR15-80261",2012,720,0,0,0,0,"SAC"
"WR15-80262",2012,870,0,0,0,0,"SAC"
"WR15-80263",2012,710,0,0,0,0,"SAC"
"WR15-80264",2012,730,0,0,0,0,"SAC"
"WR15-80265",2012,770,0,163.657,0,122.067,"AME"
"WR15-80266",2012,740,0,0,0,0,"SAC"
"WR15-80268",2012,680,0,0,0,0,"SAC"
"WR15-80272",2012,870,0,0,0,0,"SAC"
"WR15-80275",2012,730,0,0,0,0,"SAC"
"WR15-80276",2012,710,148.964,0,0,0,"LAS"
"WR15-80278",2012,720,58.419,0,0,0,"LAS"
"WR15-80282",2012,840,0,0,0,0,"SAC"
"WR15-80283",2012,740,0,0,0,0,"SAC"
"WR15-80284",2012,860,0,104.198,0,0,"AME"
"WR15-80285",2012,720,0,0,0,0,"SAC"
"WR15-80286",2012,760,0,0,0,0,"SAC"
"WR15-80294",2012,740,0,0,0,0,"SAC"
"WR15-80295",2012,720,0,0,0,0,"SAC"
"WR15-80297",2012,850,0,0,0,0,"SAC"
"WR15-80299",2012,840,0,0,0,0,"SAC"
"WR15-80305",2012,870,0,0,0,0,"SAC"
"WR15-80310",2012,690,0,0,0,0,"SAC"
"WR15-80311",2012,740,0,0,0,0,"SAC"
"WR15-80312",2012,770,0,0,0,0,"SAC"
"WR15-80315",2012,780,0,163.658,0,0,"AME"
"WR15-80318",2012,740,0,0,0,271.523,"DEL"
"WR15-80320",2012,770,0,0,0,0,"SAC"
"WR15-80324",2012,780,0,0,0,193.414,"DEL"
"WR15-80326",2012,800,0,0,0,0,"SAC"
"WR15-80330",2012,840,0,0,0,0,"SAC"
"WR15-80332",2012,740,0,0,0,0,"SAC"
