"","Sample_ID","FWDist_8786","FWDist_SrV","FWExit_dist"
"255","WR15-5309",565.1705,577.228857437861,565.1705
"256","WR15-5312",616.2999,605.71830919951,616.2999
"257","WR15-5317",599.8352,634.847103796313,599.8352
"258","WR15-5321",620.5106,591.370979323071,620.5106
"259","WR15-5325",592.0257,589.080508334956,592.0257
"260","WR15-5329",608.8249,592.558388449057,608.8249
"261","WR15-5338",555.7006,534.239289058536,555.7006
"262","WR15-5346",685.1598,665.155038927358,685.1598
"263","WR15-5350",594.7191,550.288700713163,594.7191
"264","WR15-5353",497.7296,499.197187424274,497.7296
"265","WR15-5356",620.2498,594.012127779276,620.2498
"266","WR15-5359",606.8427,583.62447752869,606.8427
"267","WR15-5362",559.3414,541.475356762735,559.3414
"268","WR15-5369",574.1627,585.21750536359,574.1627
"269","WR15-5374",619.6271,655.131341706194,619.6271
"270","WR15-5376",571.4072,549.297834820092,571.4072
"271","WR15-5379",578.245,599.108198090399,578.245
"272","WR15-5383",631.612,622.347483482616,631.612
"273","WR15-5389",620.2457,608.972388412153,620.2457
"274","WR15-5395",616.499,673.842440457436,616.499
"275","WR15-5400",576.9649,570.978126510762,576.9649
"276","WR15-5408",553.0055,589.096626695929,553.0055
"277","WR15-5417",581.3059,562.516052730486,581.3059
"278","WR15-7003",689.5416,689.894683716427,689.5416
"279","WR15-7004",690.2869,675.268574722606,690.2869
"280","WR15-7005",664.0107,680.818700474943,664.0107
"281","WR15-7007",620.7006,589.528444995487,620.7006
"282","WR15-7013",678.2575,668.513721071959,678.2575
"283","WR15-7016",633.1444,654.56427145189,633.1444
"284","WR15-7021",825.0509,811.233070189461,825.0509
"285","WR15-7022",675.6866,667.87788349313,675.6866
"286","WR15-7025",742.2071,NA,742.2071
"287","WR15-7027",574.4353,578.887038470835,578.887038470835
"288","WR15-7028",648.04,654.215033708293,648.04
"289","WR15-7031",695.1428,690.355659299738,695.1428
"290","WR15-7031B",480.8436,615.775629163796,480.8436
"291","WR15-7032",578.3788,574.886858494431,578.3788
"292","WR15-7037",544.7196,525.607872044497,544.7196
"293","WR15-7044",628.8062,595.757764570758,628.8062
"294","WR15-7047",677.6806,747.089943032261,677.6806
"295","WR15-7051",645.8691,617.413489906438,645.8691
"296","WR15-7053",681.8497,650.977440732753,681.8497
"297","WR15-7054",626.5704,583.793631682917,626.5704
"298","WR15-7059",636.141,646.857399046406,636.141
"299","WR15-7064",577.3519,552.048415263554,577.3519
"300","WR15-7071",584.9362,564.130552555714,584.9362
"301","WR15-7074",689.3702,694.306507764092,689.3702
