"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"278","WR15-5366",2012,734,NA,NA,NA,189.893,"DEL"
"279","WR15-5369",2012,635,NA,NA,NA,161.967,"DEL"
"280","WR15-5374",2012,600,NA,242.105,NA,NA,"AME"
"281","WR15-5376",2012,721,182.122,NA,NA,NA,"LAS"
"282","WR15-5379",2012,753,NA,NA,NA,NA,"SAC"
"283","WR15-5383",2012,837,NA,NA,NA,NA,"SAC"
"284","WR15-5389",2012,708,NA,NA,NA,NA,"SAC"
"285","WR15-5395",2012,705,NA,NA,NA,172.205,"DEL"
"286","WR15-5400",2012,695,NA,NA,NA,NA,"SAC"
"287","WR15-5408",2013,618,NA,NA,NA,190.384,"DEL"
"288","WR15-5412",2012,705,NA,NA,NA,NA,"SAC"
"289","WR15-5417",2012,713,NA,NA,NA,NA,"SAC"
"290","WR15-7003",2012,749,NA,NA,NA,NA,"SAC"
"291","WR15-7004",2012,764,NA,NA,NA,190.032,"DEL"
"292","WR15-7005",2012,890,NA,NA,NA,NA,"SAC"
"293","WR15-7007",2012,834,NA,NA,NA,NA,"SAC"
"294","WR15-7013",2012,745,NA,NA,NA,NA,"SAC"
"295","WR15-7015",2012,868,NA,NA,NA,NA,"SAC"
"296","WR15-7016",2012,695,NA,NA,NA,NA,"SAC"
"297","WR15-7019",2012,690,NA,NA,NA,NA,"SAC"
"298","WR15-7021",2011,850,NA,NA,NA,NA,"SAC"
"299","WR15-7022",2012,898,NA,NA,NA,NA,"SAC"
"300","WR15-7025",2012,846,NA,NA,NA,NA,"SAC"
"301","WR15-7027",2012,866,NA,180.482,NA,NA,"AME"
"302","WR15-7028",2012,732,NA,NA,NA,NA,"SAC"
"303","WR15-7031",2012,724,NA,NA,NA,121.391,"DEL"
"304","WR15-7031B",2012,NA,NA,NA,NA,NA,"SAC"
"305","WR15-7032",2012,721,NA,NA,NA,NA,"SAC"
"306","WR15-7037",2013,590,NA,NA,NA,NA,"SAC"
"307","WR15-7044",2012,710,NA,NA,NA,NA,"SAC"
"308","WR15-7047",2012,830,NA,NA,NA,NA,"SAC"
"309","WR15-7051",2012,840,NA,NA,NA,NA,"SAC"
"310","WR15-7053",2012,810,NA,NA,NA,NA,"SAC"
"311","WR15-7054",2012,760,NA,NA,NA,NA,"SAC"
